nodes;edges;time[s];weight;score;penalty;populationSize;startChromosomeCount;startChromosomeLength;limitIterations;limitSteady;alterers;offspringSelector;survivorsSelector;routeNodes;routeEdges
20;44;149.047;275.0;275.0;1000.0;100;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[9, 15, 5, 0, 7, 9, 0, 16, 13, 12, 8, 13, 12, 0, 11, 4, 13, 14, 9, 10, 9, 15, 5, 3, 18, 6, 19, 14, 3, 9, 6, 13, 12, 17, 18, 19, 17, 18, 7, 0, 11, 15, 5, 18, 7, 16, 13, 12, 13, 12, 17, 6, 13, 6, 9, 10, 1, 15, 8, 5, 3, 2, 3, 14, 5, 3, 18, 13, 12, 17, 18, 6, 7, 9];[9 --(7,0)-> 15, 15 --(5,0)-> 5, 5 --(7,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(5,0)-> 0, 0 --(2,0)-> 16, 16 --(1,0)-> 13, 13 --(3,0)-> 12, 12 --(4,0)-> 8, 8 --(2,0)-> 13, 13 --(3,0)-> 12, 12 --(4,0)-> 0, 0 --(9,0)-> 11, 11 --(1,0)-> 4, 4 --(6,0)-> 13, 13 --(6,0)-> 14, 14 --(6,0)-> 9, 9 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(7,0)-> 15, 15 --(5,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 18, 18 --(3,0)-> 6, 6 --(2,0)-> 19, 19 --(8,0)-> 14, 14 --(1,0)-> 3, 3 --(5,0)-> 9, 9 --(4,0)-> 6, 6 --(5,0)-> 13, 13 --(3,0)-> 12, 12 --(1,0)-> 17, 17 --(3,0)-> 18, 18 --(4,0)-> 19, 19 --(5,0)-> 17, 17 --(3,0)-> 18, 18 --(7,0)-> 7, 7 --(1,0)-> 0, 0 --(9,0)-> 11, 11 --(3,0)-> 15, 15 --(5,0)-> 5, 5 --(5,0)-> 18, 18 --(7,0)-> 7, 7 --(5,0)-> 16, 16 --(1,0)-> 13, 13 --(3,0)-> 12, 12 --(7,0)-> 13, 13 --(3,0)-> 12, 12 --(1,0)-> 17, 17 --(9,0)-> 6, 6 --(5,0)-> 13, 13 --(4,0)-> 6, 6 --(2,0)-> 9, 9 --(2,0)-> 10, 10 --(6,0)-> 1, 1 --(4,0)-> 15, 15 --(2,0)-> 8, 8 --(4,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 2, 2 --(8,0)-> 3, 3 --(1,0)-> 14, 14 --(4,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 18, 18 --(7,0)-> 13, 13 --(3,0)-> 12, 12 --(1,0)-> 17, 17 --(3,0)-> 18, 18 --(3,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 9]
20;44;[nie znaleziono];248.0;1248.0;1000.0;1000;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[10, 1, 15, 5, 0, 16, 7, 6, 18, 3, 14, 9, 6, 17, 18, 5, 3, 2, 3, 14, 5, 8, 13, 12, 8, 5, 15, 11, 4, 13, 16, 7, 0, 12, 17, 11, 0, 9, 10, 9, 7, 18, 13, 8, 15, 9, 3, 14, 19, 17, 18, 3, 14, 3, 14, 3, 18, 19, 6, 13, 14, 3, 18, 6, 9, 10];[10 --(6,0)-> 1, 1 --(4,0)-> 15, 15 --(5,0)-> 5, 5 --(7,0)-> 0, 0 --(2,0)-> 16, 16 --(4,0)-> 7, 7 --(7,0)-> 6, 6 --(1,0)-> 18, 18 --(2,0)-> 3, 3 --(1,0)-> 14, 14 --(6,0)-> 9, 9 --(4,0)-> 6, 6 --(8,0)-> 17, 17 --(3,0)-> 18, 18 --(6,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 2, 2 --(8,0)-> 3, 3 --(1,0)-> 14, 14 --(4,0)-> 5, 5 --(4,0)-> 8, 8 --(2,0)-> 13, 13 --(3,0)-> 12, 12 --(4,0)-> 8, 8 --(4,0)-> 5, 5 --(2,0)-> 15, 15 --(8,0)-> 11, 11 --(1,0)-> 4, 4 --(6,0)-> 13, 13 --(9,0)-> 16, 16 --(4,0)-> 7, 7 --(1,0)-> 0, 0 --(7,0)-> 12, 12 --(1,0)-> 17, 11 --(5,0)-> 0, 0 --(6,0)-> 9, 9 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(9,0)-> 7, 7 --(4,0)-> 18, 18 --(7,0)-> 13, 13 --(5,0)-> 8, 8 --(6,0)-> 15, 15 --(10,0)-> 9, 9 --(6,0)-> 3, 3 --(1,0)-> 14, 14 --(7,0)-> 19, 19 --(5,0)-> 17, 17 --(3,0)-> 18, 18 --(2,0)-> 3, 3 --(1,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(4,0)-> 19, 19 --(1,0)-> 6, 6 --(5,0)-> 13, 13 --(6,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(3,0)-> 6, 6 --(2,0)-> 9, 9 --(2,0)-> 10]
20;44;[nie znaleziono];101.0;180101.0;10000.0;100;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[9, 0, 16, 13, 6, 18, 5, 15, 5, 15, 1, 10, 9, 6, 19, 6, 19, 17, 6, 7, 0, 11, 15, 8, 13, 14, 3, 18, 3, 14, 5, 3, 9];[9 --(5,0)-> 0, 0 --(2,0)-> 16, 16 --(1,0)-> 13, 13 --(4,0)-> 6, 6 --(1,0)-> 18, 18 --(6,0)-> 5, 5 --(2,0)-> 15, 15 --(5,0)-> 5, 5 --(2,0)-> 15, 15 --(5,0)-> 1, 1 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(4,0)-> 6, 6 --(2,0)-> 19, 19 --(1,0)-> 6, 6 --(2,0)-> 19, 19 --(5,0)-> 17, 17 --(9,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 0, 0 --(9,0)-> 11, 11 --(3,0)-> 15, 15 --(2,0)-> 8, 8 --(2,0)-> 13, 13 --(6,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(2,0)-> 3, 3 --(1,0)-> 14, 14 --(4,0)-> 5, 5 --(3,0)-> 3, 3 --(5,0)-> 9]
20;44;[nie znaleziono];124.0;280124.0;10000.0;1000;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[13, 6, 9, 3, 2, 7, 18, 3, 5, 15, 8, 5, 0, 12, 8, 13, 12, 17, 1, 10, 9, 0, 16, 7, 9, 14, 19, 17, 14, 5, 18, 13, 14, 3, 18, 0, 10, 10, 18, 1, 14, 18, 3, 7, 19];[13 --(4,0)-> 6, 6 --(2,0)-> 9, 9 --(6,0)-> 3, 3 --(1,0)-> 2, 7 --(4,0)-> 18, 18 --(2,0)-> 3, 3 --(10,0)-> 5, 5 --(2,0)-> 15, 15 --(2,0)-> 8, 8 --(4,0)-> 5, 5 --(7,0)-> 0, 0 --(7,0)-> 12, 12 --(4,0)-> 8, 8 --(2,0)-> 13, 13 --(3,0)-> 12, 12 --(1,0)-> 17, 1 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(5,0)-> 0, 0 --(2,0)-> 16, 16 --(4,0)-> 7, 7 --(1,0)-> 9, 9 --(10,0)-> 14, 14 --(7,0)-> 19, 19 --(5,0)-> 17, 14 --(4,0)-> 5, 5 --(5,0)-> 18, 18 --(7,0)-> 13, 13 --(6,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(2,0)-> 3]
20;44;169.015;269.0;269.0;1000.0;100;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[11, 15, 8, 13, 6, 19, 6, 17, 19, 6, 9, 0, 7, 9, 10, 1, 15, 9, 14, 3, 18, 19, 6, 7, 0, 12, 8, 5, 3, 14, 5, 8, 13, 8, 13, 12, 17, 18, 5, 0, 11, 4, 13, 8, 15, 8, 13, 6, 19, 14, 3, 18, 6, 7, 0, 16, 7, 9, 10, 9, 3, 2, 3, 14, 3, 18, 7, 0, 16, 13, 14, 3, 14, 3, 18, 13, 6, 18, 5, 15, 11];[11 --(3,0)-> 15, 15 --(2,0)-> 8, 8 --(2,0)-> 13, 13 --(4,0)-> 6, 6 --(2,0)-> 19, 19 --(1,0)-> 6, 6 --(8,0)-> 17, 17 --(9,0)-> 19, 19 --(1,0)-> 6, 6 --(2,0)-> 9, 9 --(5,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(2,0)-> 10, 10 --(6,0)-> 1, 1 --(4,0)-> 15, 15 --(10,0)-> 9, 9 --(10,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(4,0)-> 19, 19 --(1,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 0, 0 --(7,0)-> 12, 12 --(4,0)-> 8, 8 --(4,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 14, 14 --(4,0)-> 5, 5 --(4,0)-> 8, 8 --(2,0)-> 13, 13 --(5,0)-> 8, 8 --(2,0)-> 13, 13 --(3,0)-> 12, 12 --(1,0)-> 17, 17 --(3,0)-> 18, 18 --(6,0)-> 5, 5 --(7,0)-> 0, 0 --(9,0)-> 11, 11 --(1,0)-> 4, 4 --(6,0)-> 13, 13 --(5,0)-> 8, 8 --(6,0)-> 15, 15 --(2,0)-> 8, 8 --(2,0)-> 13, 13 --(4,0)-> 6, 6 --(2,0)-> 19, 19 --(8,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(3,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 0, 0 --(2,0)-> 16, 16 --(4,0)-> 7, 7 --(1,0)-> 9, 9 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(6,0)-> 3, 3 --(1,0)-> 2, 2 --(8,0)-> 3, 3 --(1,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(7,0)-> 7, 7 --(1,0)-> 0, 0 --(2,0)-> 16, 16 --(1,0)-> 13, 13 --(6,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(7,0)-> 13, 13 --(4,0)-> 6, 6 --(1,0)-> 18, 18 --(6,0)-> 5, 5 --(2,0)-> 15, 15 --(8,0)-> 11]
20;44;[nie znaleziono];173.0;5173.0;1000.0;1000;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[19, 17, 18, 6, 7, 0, 16, 7, 9, 15, 8, 13, 6, 17, 12, 13, 18, 19, 6, 9, 3, 18, 5, 15, 11, 0, 12, 8, 5, 15, 1, 10, 9, 0, 5, 14, 3, 18, 7, 0, 16, 13, 14, 19];[19 --(5,0)-> 17, 17 --(3,0)-> 18, 18 --(3,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 0, 0 --(2,0)-> 16, 16 --(4,0)-> 7, 7 --(1,0)-> 9, 9 --(7,0)-> 15, 15 --(2,0)-> 8, 8 --(2,0)-> 13, 13 --(4,0)-> 6, 6 --(8,0)-> 17, 17 --(8,0)-> 12, 12 --(7,0)-> 13, 13 --(7,0)-> 18, 18 --(4,0)-> 19, 19 --(1,0)-> 6, 6 --(2,0)-> 9, 9 --(6,0)-> 3, 3 --(1,0)-> 18, 18 --(6,0)-> 5, 5 --(2,0)-> 15, 15 --(8,0)-> 11, 11 --(5,0)-> 0, 0 --(7,0)-> 12, 12 --(4,0)-> 8, 8 --(4,0)-> 5, 5 --(2,0)-> 15, 15 --(5,0)-> 1, 1 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(5,0)-> 0, 0 --(10,0)-> 5, 5 --(6,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(7,0)-> 7, 7 --(1,0)-> 0, 0 --(2,0)-> 16, 16 --(1,0)-> 13, 13 --(6,0)-> 14, 14 --(7,0)-> 19]
20;44;[nie znaleziono];312.0;210312.0;10000.0;100;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[4, 7, 1, 3, 11, 8, 15, 6, 2, 3, 17, 4, 0, 2, 15, 9, 6, 13, 8, 12, 17, 18, 13, 12, 0, 7, 9, 14, 5, 3, 18, 5, 8, 15, 5, 0, 11, 15, 1, 10, 9, 3, 18, 6, 6, 7, 18, 19, 17, 6, 19, 9, 0, 16, 13, 14, 3, 2, 15, 9, 6, 13, 8, 12, 17, 18, 13, 12, 0, 7, 9, 14, 5, 3, 18, 5, 8, 15, 5, 0, 11, 15, 1, 10, 9, 3, 18, 6];[8 --(6,0)-> 15, 2 --(8,0)-> 3, 15 --(10,0)-> 9, 9 --(4,0)-> 6, 6 --(5,0)-> 13, 13 --(5,0)-> 8, 8 --(8,0)-> 12, 12 --(1,0)-> 17, 17 --(3,0)-> 18, 18 --(7,0)-> 13, 13 --(3,0)-> 12, 12 --(4,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(10,0)-> 14, 14 --(4,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 18, 18 --(6,0)-> 5, 5 --(4,0)-> 8, 8 --(6,0)-> 15, 15 --(5,0)-> 5, 5 --(7,0)-> 0, 0 --(9,0)-> 11, 11 --(3,0)-> 15, 15 --(5,0)-> 1, 1 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(6,0)-> 3, 3 --(1,0)-> 18, 18 --(3,0)-> 6, 6 --(2,0)-> 7, 7 --(4,0)-> 18, 18 --(4,0)-> 19, 19 --(5,0)-> 17, 17 --(9,0)-> 6, 6 --(2,0)-> 19, 9 --(5,0)-> 0, 0 --(2,0)-> 16, 16 --(1,0)-> 13, 13 --(6,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 2, 15 --(10,0)-> 9, 9 --(4,0)-> 6, 6 --(5,0)-> 13, 13 --(5,0)-> 8, 8 --(8,0)-> 12, 12 --(1,0)-> 17, 17 --(3,0)-> 18, 18 --(7,0)-> 13, 13 --(3,0)-> 12, 12 --(4,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(10,0)-> 14, 14 --(4,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 18, 18 --(6,0)-> 5, 5 --(4,0)-> 8, 8 --(6,0)-> 15, 15 --(5,0)-> 5, 5 --(7,0)-> 0, 0 --(9,0)-> 11, 11 --(3,0)-> 15, 15 --(5,0)-> 1, 1 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(6,0)-> 3, 3 --(1,0)-> 18, 18 --(3,0)-> 6]
20;44;39.604;353.0;353.0;10000.0;1000;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[18, 19, 14, 9, 14, 3, 18, 19, 6, 19, 6, 18, 3, 9, 15, 8, 15, 5, 14, 13, 4, 11, 15, 1, 10, 9, 0, 12, 8, 13, 12, 17, 19, 17, 18, 7, 0, 7, 9, 6, 7, 16, 13, 12, 17, 18, 13, 8, 5, 14, 3, 18, 19, 6, 19, 6, 13, 16, 0, 11, 15, 5, 3, 18, 5, 8, 15, 1, 10, 9, 0, 12, 17, 12, 13, 6, 17, 18, 5, 0, 7, 9, 6, 7, 18, 3, 2, 3, 18];[18 --(4,0)-> 19, 19 --(8,0)-> 14, 14 --(6,0)-> 9, 9 --(10,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(4,0)-> 19, 19 --(1,0)-> 6, 6 --(2,0)-> 19, 19 --(1,0)-> 6, 6 --(1,0)-> 18, 18 --(2,0)-> 3, 3 --(5,0)-> 9, 9 --(7,0)-> 15, 15 --(2,0)-> 8, 8 --(6,0)-> 15, 15 --(5,0)-> 5, 5 --(6,0)-> 14, 14 --(8,0)-> 13, 13 --(10,0)-> 4, 4 --(9,0)-> 11, 11 --(3,0)-> 15, 15 --(5,0)-> 1, 1 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(5,0)-> 0, 0 --(7,0)-> 12, 12 --(4,0)-> 8, 8 --(2,0)-> 13, 13 --(3,0)-> 12, 12 --(1,0)-> 17, 17 --(9,0)-> 19, 19 --(5,0)-> 17, 17 --(3,0)-> 18, 18 --(7,0)-> 7, 7 --(1,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(4,0)-> 6, 6 --(2,0)-> 7, 7 --(5,0)-> 16, 16 --(1,0)-> 13, 13 --(3,0)-> 12, 12 --(1,0)-> 17, 17 --(3,0)-> 18, 18 --(7,0)-> 13, 13 --(5,0)-> 8, 8 --(4,0)-> 5, 5 --(6,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(4,0)-> 19, 19 --(1,0)-> 6, 6 --(2,0)-> 19, 19 --(1,0)-> 6, 6 --(5,0)-> 13, 13 --(9,0)-> 16, 16 --(4,0)-> 0, 0 --(9,0)-> 11, 11 --(3,0)-> 15, 15 --(5,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 18, 18 --(6,0)-> 5, 5 --(4,0)-> 8, 8 --(6,0)-> 15, 15 --(5,0)-> 1, 1 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(5,0)-> 0, 0 --(7,0)-> 12, 12 --(1,0)-> 17, 17 --(8,0)-> 12, 12 --(7,0)-> 13, 13 --(4,0)-> 6, 6 --(8,0)-> 17, 17 --(3,0)-> 18, 18 --(6,0)-> 5, 5 --(7,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(4,0)-> 6, 6 --(2,0)-> 7, 7 --(4,0)-> 18, 18 --(2,0)-> 3, 3 --(1,0)-> 2, 2 --(8,0)-> 3, 3 --(1,0)-> 18]
20;44;[nie znaleziono];100.0;40100.0;1000.0;100;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.2]   - SinglePointCrossover[p=0,200000];TournamentSelector[s=3];TournamentSelector[s=3];[0, 16, 7, 9, 0, 12, 17, 19, 14, 9, 15, 8, 13, 14, 5, 8, 5, 15, 1, 10, 3, 14, 17, 13, 6, 5, 11, 12, 7, 9, 17, 19, 9, 9, 8, 14, 7, 19, 16, 0, 18];[0 --(2,0)-> 16, 16 --(4,0)-> 7, 7 --(1,0)-> 9, 9 --(5,0)-> 0, 0 --(7,0)-> 12, 12 --(1,0)-> 17, 17 --(9,0)-> 19, 19 --(8,0)-> 14, 14 --(6,0)-> 9, 9 --(7,0)-> 15, 15 --(2,0)-> 8, 8 --(2,0)-> 13, 13 --(6,0)-> 14, 14 --(4,0)-> 5, 5 --(4,0)-> 8, 8 --(4,0)-> 5, 5 --(2,0)-> 15, 15 --(5,0)-> 1, 1 --(2,0)-> 10, 3 --(1,0)-> 14, 13 --(4,0)-> 6, 7 --(1,0)-> 9, 17 --(9,0)-> 19, 16 --(4,0)-> 0]
20;44;[nie znaleziono];127.0;18127.0;1000.0;1000;20;44;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.2]   - SinglePointCrossover[p=0,200000];TournamentSelector[s=3];TournamentSelector[s=3];[9, 0, 11, 15, 8, 5, 15, 8, 13, 6, 7, 9, 10, 9, 14, 3, 14, 3, 18, 19, 6, 13, 14, 19, 6, 19, 17, 18, 6, 7, 0, 7, 9, 6, 7, 0, 16, 7, 0, 7, 9, 15, 5, 3, 2];[9 --(5,0)-> 0, 0 --(9,0)-> 11, 11 --(3,0)-> 15, 15 --(2,0)-> 8, 8 --(4,0)-> 5, 5 --(2,0)-> 15, 15 --(2,0)-> 8, 8 --(2,0)-> 13, 13 --(4,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 9, 9 --(2,0)-> 10, 10 --(1,0)-> 9, 9 --(10,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 14, 14 --(1,0)-> 3, 3 --(1,0)-> 18, 18 --(4,0)-> 19, 19 --(1,0)-> 6, 6 --(5,0)-> 13, 13 --(6,0)-> 14, 14 --(7,0)-> 19, 19 --(1,0)-> 6, 6 --(2,0)-> 19, 19 --(5,0)-> 17, 17 --(3,0)-> 18, 18 --(3,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(4,0)-> 6, 6 --(2,0)-> 7, 7 --(1,0)-> 0, 0 --(2,0)-> 16, 16 --(4,0)-> 7, 7 --(1,0)-> 0, 0 --(1,0)-> 7, 7 --(1,0)-> 9, 9 --(7,0)-> 15, 15 --(5,0)-> 5, 5 --(3,0)-> 3, 3 --(1,0)-> 2]
