nodes;edges;time[s];weight;score;penalty;populationSize;startChromosomeCount;startChromosomeLength;limitIterations;limitSteady;alterers;offspringSelector;survivorsSelector;routeNodes;routeEdges
10;22;3.531;153.0;153.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[7, 1, 7, 1, 7, 5, 8, 1, 3, 7, 1, 7, 1, 5, 2, 3, 1, 7, 1, 7, 1, 8, 4, 5, 6, 8, 2, 0, 6, 1, 3, 4, 7, 6, 7, 1, 7, 6, 3, 7, 4, 9, 4, 7];[7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(6,0)-> 6, 6 --(3,0)-> 8, 8 --(5,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(3,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 7]
10;22;0.274;220.0;220.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[4, 7, 3, 4, 9, 4, 5, 8, 4, 5, 6, 7, 3, 2, 5, 1, 7, 3, 7, 3, 1, 3, 6, 7, 1, 6, 0, 2, 8, 6, 7, 5, 8, 2, 5, 1, 7, 1, 8, 4];[4 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(6,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(9,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(8,0)-> 2, 2 --(10,0)-> 5, 5 --(9,0)-> 1, 1 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(10,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(10,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(3,0)-> 8, 8 --(9,0)-> 6, 6 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(5,0)-> 2, 2 --(10,0)-> 5, 5 --(9,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(8,0)-> 4]
10;22;0.275;185.0;185.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[6, 8, 4, 5, 7, 6, 0, 2, 3, 7, 1, 7, 1, 8, 5, 6, 7, 6, 1, 5, 2, 8, 4, 3, 7, 6, 5, 4, 7, 4, 9, 4, 7, 6, 3, 1, 5, 6, 1, 6];[6 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(7,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(3,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(7,0)-> 5, 5 --(10,0)-> 2, 2 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(6,0)-> 6, 6 --(5,0)-> 1, 1 --(10,0)-> 6]
10;22;0.099;229.0;229.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[2, 3, 4, 8, 1, 6, 8, 5, 7, 6, 1, 8, 1, 8, 2, 5, 4, 9, 4, 7, 3, 4, 5, 2, 3, 7, 3, 6, 5, 7, 6, 8, 6, 1, 3, 1, 7, 4, 5, 1, 6, 0, 2];[2 --(2,0)-> 3, 3 --(6,0)-> 4, 4 --(5,0)-> 8, 8 --(1,0)-> 1, 1 --(10,0)-> 6, 6 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(7,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(5,0)-> 2, 2 --(10,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(10,0)-> 6, 6 --(1,0)-> 5, 5 --(7,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(9,0)-> 6, 6 --(5,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(9,0)-> 1, 1 --(10,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2]
10;22;6.367;151.0;151.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[0, 6, 7, 5, 8, 1, 5, 4, 9, 4, 3, 1, 6, 8, 2, 3, 1, 3, 7, 4, 8, 2, 0, 2, 5, 6, 7, 1, 7, 1, 3, 6, 0];[0 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(3,0)-> 3, 3 --(1,0)-> 1, 1 --(10,0)-> 6, 6 --(3,0)-> 8, 8 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(5,0)-> 8, 8 --(5,0)-> 2, 2 --(9,0)-> 0, 0 --(5,0)-> 2, 2 --(10,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(10,0)-> 6, 6 --(10,0)-> 0]
10;22;0.279;192.0;192.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[7, 1, 3, 6, 8, 5, 2, 8, 5, 6, 7, 6, 5, 4, 5, 8, 1, 7, 3, 2, 3, 4, 9, 4, 8, 5, 6, 5, 7, 1, 6, 0, 2, 8, 5, 1, 8, 1, 3, 4, 7, 1, 7];[7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(10,0)-> 6, 6 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(10,0)-> 2, 2 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(8,0)-> 2, 2 --(2,0)-> 3, 3 --(6,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(5,0)-> 8, 8 --(3,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 5, 5 --(7,0)-> 7, 7 --(1,0)-> 1, 1 --(10,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(9,0)-> 1, 1 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7]
10;22;0.156;182.0;182.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[5, 8, 1, 7, 3, 6, 0, 2, 3, 4, 5, 4, 7, 6, 8, 2, 3, 2, 5, 6, 1, 7, 3, 6, 7, 1, 3, 4, 7, 5, 4, 9, 4, 8, 2, 3, 1, 5];[5 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(10,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(8,0)-> 2, 2 --(10,0)-> 5, 5 --(6,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(10,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(5,0)-> 8, 8 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 1, 1 --(7,0)-> 5]
10;22;6.815;208.0;208.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[3, 1, 5, 8, 1, 3, 4, 7, 1, 7, 6, 1, 7, 1, 7, 6, 5, 1, 8, 5, 7, 5, 4, 5, 8, 4, 9, 4, 7, 1, 3, 7, 6, 0, 2, 3, 1, 8, 4, 5, 7, 6, 8, 2, 5, 6, 3];[3 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(9,0)-> 1, 1 --(9,0)-> 8, 8 --(3,0)-> 5, 5 --(7,0)-> 7, 7 --(2,0)-> 5, 5 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(9,0)-> 8, 8 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(7,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(5,0)-> 2, 2 --(10,0)-> 5, 5 --(6,0)-> 6, 6 --(10,0)-> 3]
10;22;0.346;156.0;156.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.2]   - SinglePointCrossover[p=0,200000];TournamentSelector[s=3];TournamentSelector[s=3];[6, 5, 4, 8, 1, 7, 6, 7, 4, 9, 4, 7, 5, 8, 2, 0, 6, 7, 1, 6, 5, 2, 3, 4, 7, 6, 5, 1, 3, 6, 8, 4, 7, 1, 7, 1, 3, 7, 6];[6 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(5,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(10,0)-> 6, 6 --(1,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(9,0)-> 1, 1 --(3,0)-> 3, 3 --(10,0)-> 6, 6 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6]
10;22;0.458;164.0;164.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.2]   - SinglePointCrossover[p=0,200000];TournamentSelector[s=3];TournamentSelector[s=3];[7, 5, 8, 1, 7, 1, 3, 2, 0, 6, 3, 7, 1, 7, 1, 7, 1, 7, 1, 7, 5, 4, 7, 1, 5, 6, 8, 4, 3, 7, 4, 9, 4, 7, 6, 8, 1, 6, 7, 5, 2, 8, 4, 7];[7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(8,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(8,0)-> 4, 4 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(6,0)-> 6, 6 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(10,0)-> 6, 6 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(10,0)-> 2, 2 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 7]
