nodes;edges;time[s];weight;score;penalty;populationSize;startChromosomeCount;startChromosomeLength;limitIterations;limitSteady;alterers;offspringSelector;survivorsSelector;routeNodes;routeEdges
10;22;1.424;166.0;166.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[6, 1, 3, 7, 6, 8, 2, 8, 1, 7, 1, 5, 2, 3, 4, 7, 6, 0, 2, 8, 1, 3, 6, 1, 3, 1, 5, 7, 5, 4, 9, 4, 8, 1, 7, 1, 6, 8, 5, 6];[6 --(5,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(5,0)-> 2, 2 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(10,0)-> 6, 6 --(5,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(7,0)-> 7, 7 --(2,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(5,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(10,0)-> 6, 6 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(6,0)-> 6]
10;22;0.446;182.0;182.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[5, 2, 8, 2, 3, 6, 8, 1, 5, 4, 9, 4, 5, 6, 5, 2, 0, 6, 5, 6, 8, 1, 7, 1, 3, 2, 5, 4, 8, 5, 1, 6, 7, 3, 4, 7, 5];[5 --(10,0)-> 2, 2 --(3,0)-> 8, 8 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(10,0)-> 6, 6 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 5, 5 --(10,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(6,0)-> 6, 6 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(8,0)-> 2, 2 --(10,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 8, 8 --(3,0)-> 5, 5 --(9,0)-> 1, 1 --(10,0)-> 6, 6 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(2,0)-> 5]
10;22;0.607;218.0;218.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[8, 4, 5, 1, 6, 3, 6, 7, 5, 1, 8, 5, 6, 5, 4, 9, 4, 7, 3, 1, 7, 6, 0, 2, 8, 5, 2, 8, 1, 7, 6, 7, 6, 8, 5, 6, 5, 4, 8, 2, 3, 4, 7, 6, 7, 5, 6, 8];[8 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(9,0)-> 1, 1 --(10,0)-> 6, 6 --(10,0)-> 3, 3 --(10,0)-> 6, 6 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 1, 1 --(9,0)-> 8, 8 --(3,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(10,0)-> 2, 2 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 8, 8 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(6,0)-> 6, 6 --(3,0)-> 8]
10;22;3.843;167.0;167.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];TournamentSelector[s=3];TournamentSelector[s=3];[6, 7, 4, 7, 3, 4, 8, 1, 3, 2, 8, 4, 9, 4, 8, 6, 3, 1, 7, 4, 5, 8, 1, 5, 2, 0, 6, 8, 1, 7, 6, 1, 7, 5, 6];[6 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(6,0)-> 4, 4 --(5,0)-> 8, 8 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(8,0)-> 2, 2 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(5,0)-> 8, 8 --(9,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(9,0)-> 8, 8 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(10,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(6,0)-> 6]
10;22;12.41;212.0;212.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[7, 4, 5, 1, 8, 4, 9, 4, 5, 6, 3, 7, 6, 1, 7, 5, 7, 5, 2, 3, 7, 6, 8, 4, 5, 6, 3, 7, 6, 1, 7, 5, 1, 3, 4, 7, 5, 8, 6, 0, 2, 8, 1, 7, 1, 7, 1, 7, 1, 7];[7 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(9,0)-> 1, 1 --(9,0)-> 8, 8 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(6,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(7,0)-> 7, 7 --(2,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 5, 5 --(6,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 1, 1 --(3,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(9,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7]
10;22;24.94;142.0;142.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[3, 4, 8, 5, 2, 0, 6, 3, 7, 6, 1, 5, 7, 1, 7, 1, 7, 1, 7, 1, 7, 6, 8, 1, 7, 6, 5, 4, 7, 1, 3, 2, 8, 4, 9, 4, 3];[3 --(6,0)-> 4, 4 --(5,0)-> 8, 8 --(3,0)-> 5, 5 --(10,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(7,0)-> 5, 5 --(7,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(8,0)-> 2, 2 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(3,0)-> 3]
10;22;0.585;169.0;169.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[7, 5, 6, 8, 1, 7, 1, 7, 6, 1, 8, 5, 4, 3, 1, 8, 2, 3, 4, 7, 6, 0, 2, 3, 6, 8, 1, 7, 1, 7, 1, 5, 2, 3, 7, 1, 7, 4, 9, 4, 8, 4, 7];[7 --(2,0)-> 5, 5 --(6,0)-> 6, 6 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(9,0)-> 8, 8 --(3,0)-> 5, 5 --(8,0)-> 4, 4 --(3,0)-> 3, 3 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 0, 0 --(5,0)-> 2, 2 --(2,0)-> 3, 3 --(10,0)-> 6, 6 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(7,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(5,0)-> 8, 8 --(8,0)-> 4, 4 --(1,0)-> 7]
10;22;0.5;235.0;235.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.1]   - SinglePointCrossover[p=0,100000];RouletteWheelSelector;RouletteWheelSelector;[4, 7, 6, 7, 1, 7, 6, 7, 6, 3, 1, 3, 7, 5, 1, 3, 2, 0, 6, 5, 4, 3, 7, 5, 8, 6, 1, 7, 5, 2, 3, 7, 6, 7, 1, 3, 2, 8, 4, 9, 4, 3, 7, 5, 8, 6, 1, 7, 5, 2, 3, 7, 6, 7, 1, 3, 1, 8, 4];[4 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 1, 1 --(3,0)-> 3, 3 --(8,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(9,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(8,0)-> 2, 2 --(3,0)-> 8, 8 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(9,0)-> 8, 8 --(9,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(8,0)-> 4]
10;22;87.882;183.0;183.0;100.0;100;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.01]   - SinglePointCrossover[p=0,010000];TournamentSelector[s=3];TournamentSelector[s=3];[4, 7, 3, 2, 0, 6, 5, 2, 8, 1, 7, 6, 1, 7, 6, 0, 6, 7, 4, 5, 4, 9, 4, 5, 6, 8, 5, 1, 3, 4, 8, 1, 7, 6, 7, 1, 7, 6, 3, 7, 6, 7, 5, 4];[4 --(1,0)-> 7, 7 --(9,0)-> 3, 3 --(8,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(1,0)-> 5, 5 --(10,0)-> 2, 2 --(3,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 0, 0 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(1,0)-> 5, 5 --(6,0)-> 6, 6 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(9,0)-> 1, 1 --(3,0)-> 3, 3 --(6,0)-> 4, 4 --(5,0)-> 8, 8 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(10,0)-> 3, 3 --(1,0)-> 7, 7 --(4,0)-> 6, 6 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(8,0)-> 4]
10;22;945.509;197.0;197.0;100.0;1000;10;22;100000000000;100000000;CompositeAlterer:   - RouteMutator[p=0.01]   - SinglePointCrossover[p=0,010000];TournamentSelector[s=3];TournamentSelector[s=3];[1, 5, 2, 3, 1, 3, 6, 7, 1, 3, 2, 0, 6, 1, 3, 4, 7, 4, 9, 4, 8, 5, 4, 8, 1, 3, 7, 5, 6, 7, 1, 7, 1, 8, 6, 8, 2, 8, 5, 4, 8, 1, 3, 7, 5, 6, 7, 1, 7, 1];[1 --(7,0)-> 5, 5 --(10,0)-> 2, 2 --(2,0)-> 3, 3 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(10,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(8,0)-> 2, 2 --(9,0)-> 0, 0 --(4,0)-> 6, 6 --(5,0)-> 1, 1 --(3,0)-> 3, 3 --(6,0)-> 4, 4 --(1,0)-> 7, 7 --(9,0)-> 4, 4 --(5,0)-> 9, 9 --(9,0)-> 4, 4 --(5,0)-> 8, 8 --(3,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 8, 8 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(9,0)-> 8, 8 --(9,0)-> 6, 6 --(3,0)-> 8, 8 --(5,0)-> 2, 2 --(3,0)-> 8, 8 --(3,0)-> 5, 5 --(8,0)-> 4, 4 --(5,0)-> 8, 8 --(1,0)-> 1, 1 --(3,0)-> 3, 3 --(1,0)-> 7, 7 --(2,0)-> 5, 5 --(6,0)-> 6, 6 --(1,0)-> 7, 7 --(1,0)-> 1, 1 --(1,0)-> 7, 7 --(1,0)-> 1]
